family_name,days_total,pos_days,zero_days,zero_rate,pos_rate,qty_total,qty_avg_all_days,qty_avg_pos_days,qty_std_pos_days,years_count,active_months,adi,cv2_pos,peak_doy,season_start_p25,season_start_p50,season_start_p75,demand_class,data_quality_class,seasonality_class
spathiphillum,6273,4826,1447,0.2307,0.7693,17922.0,2.857,3.7136,3.157,18,12,1.2999,0.7227,246,2.0,2.0,3.8,erratic,strong,all_year
kalanchoe,6273,5002,1270,0.2025,0.7974,26327.0,4.1969,5.2639,4.9095,18,12,1.2541,0.8699,115,2.0,2.0,4.0,erratic,strong,all_year
phaelenopsis,6273,5337,936,0.1492,0.8508,22470.0,3.582,4.2102,3.77,18,12,1.175,0.8018,358,2.0,2.0,2.0,erratic,strong,all_year
p.grasse,6273,6116,157,0.025,0.975,217759.0,34.7137,35.6048,38.2816,18,12,1.0257,1.156,115,2.0,2.0,2.0,erratic,strong,all_year
alluadia,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,171,,,,insufficient,weak,very_narrow
aronia,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,89,,,,insufficient,weak,very_narrow
bonsai juniperus,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,116,,,,insufficient,weak,very_narrow
browningia,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,58,,,,insufficient,weak,very_narrow
butia,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,147,,,,insufficient,weak,very_narrow
cardo,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,165,,,,insufficient,weak,very_narrow
caryota,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,84,,,,insufficient,weak,very_narrow
faggio,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,37,,,,insufficient,weak,very_narrow
frassino,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,37,,,,insufficient,weak,very_narrow
nuphar,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,115,,,,insufficient,weak,very_narrow
palma washingtonia,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,158,,,,insufficient,weak,very_narrow
sandersonia,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,277,,,,insufficient,weak,very_narrow
sarcococca,6273,1,6272,0.9998,0.0002,1.0,0.0002,1.0,,18,1,,,337,,,,insufficient,weak,very_narrow
cheiridopsis,6273,1,6272,0.9998,0.0002,2.0,0.0003,2.0,,18,1,,,93,,,,insufficient,weak,very_narrow
dodonea,6273,1,6272,0.9998,0.0002,2.0,0.0003,2.0,,18,1,,,96,,,,insufficient,weak,very_narrow
biophytum,6273,2,6271,0.9997,0.0003,2.0,0.0003,1.0,0.0,18,2,87.0,0.0,145,,,,intermittent,weak,very_narrow
ceratophyllum,6273,2,6271,0.9997,0.0003,2.0,0.0003,1.0,0.0,18,1,9.0,0.0,101,,,,intermittent,weak,very_narrow
cumino,6273,2,6271,0.9997,0.0003,2.0,0.0003,1.0,0.0,18,1,6.0,0.0,83,,,,intermittent,weak,very_narrow
ficus robusta,6273,2,6271,0.9997,0.0003,2.0,0.0003,1.0,0.0,18,2,88.0,0.0,8,,,,intermittent,weak,very_narrow
